name,fake
Afghanistan,data
Albania,data
Algeria,data
American Samoa,data
Andorra,data
Angola,data
Anguilla,data
Antarctica,data
Antigua and Barbuda,data
Argentina,data
Armenia,data
Aruba,data
Australia,data
Austria,data
Azerbaijan,data
Bahamas (the),data
Bahrain,data
Bangladesh,data
Barbados,data
Belarus,data
Belgium,data
Belize,data
Benin,data
Bermuda,data
Bhutan,data
Bolivia (Plurinational State of),data
"Bonaire, Sint Eustatius and Saba",data
Bosnia and Herzegovina,data
Botswana,data
Bouvet Island,data
Brazil,data
British Antarctic Territory,data
British Indian Ocean Territory (the),data
Brunei Darussalam,data
Bulgaria,data
Burkina Faso,data
Burma,data
Burundi,data
Byelorussian SSR,data
Cabo Verde,data
Cambodia,data
Cameroon,data
Canada,data
Canton and Enderbury Islands,data
Cayman Islands (the),data
Central African Republic (the),data
Chad,data
Chile,data
China,data
Christmas Island,data
Cocos (Keeling) Islands (the),data
Colombia,data
Comoros (the),data
Congo (the Democratic Republic of the),data
Congo (the),data
Cook Islands (the),data
Costa Rica,data
Côte d'Ivoire,data
Croatia,data
Cuba,data
Curaçao,data
Cyprus,data
Czech Republic (the),data
Czechoslovakia,data
Dahomey,data
Denmark,data
Djibouti,data
Dominica,data
Dominican Republic (the),data
Dronning Maud Land,data
East Timor,data
Ecuador,data
Egypt,data
El Salvador,data
Equatorial Guinea,data
Eritrea,data
Estonia,data
Ethiopia,data
Falkland Islands (the) [Malvinas],data
Faroe Islands (the),data
Fiji,data
Finland,data
France,data
"France, Metropolitan",data
French Afars and Issas,data
French Guiana,data
French Polynesia,data
French Southern and Antarctic Territories,data
French Southern Territories (the),data
Gabon,data
Gambia (the),data
Georgia,data
German Democratic Republic,data
Germany,data
Ghana,data
Gibraltar,data
Gilbert and Ellice Islands,data
Greece,data
Greenland,data
Grenada,data
Guadeloupe,data
Guam,data
Guatemala,data
Guernsey,data
Guinea,data
Guinea-Bissau,data
Guyana,data
Haiti,data
Heard Island and McDonal Islands,data
Holy See (the),data
Honduras,data
Hong Kong,data
Hungary,data
Iceland,data
India,data
Indonesia,data
Iran (Islamic Republic of),data
Iraq,data
Ireland,data
Isle of Man,data
Israel,data
Italy,data
Jamaica,data
Japan,data
Jersey,data
Johnston Island,data
Jordan,data
Kazakhstan,data
Kenya,data
Kiribati,data
Korea (the Democratic People's Republic of),data
Korea (the Republic of),data
Kuwait,data
Kyrgyzstan,data
Lao People's Democratic Republic (the),data
Latvia,data
Lebanon,data
Lesotho,data
Liberia,data
Libya,data
Liechtenstein,data
Lithuania,data
Luxembourg,data
Macao,data
Macedonia (the former Yugoslav Republic of),data
Madagascar,data
Malawi,data
Malaysia,data
Mali,data
Malta,data
Marshall Islands (the),data
Martinique,data
Mauritania,data
Mauritius,data
Mayotte,data
Mexico,data
Micronesia (Federated States of),data
Midway Islands,data
Moldova (the Republic of),data
Monaco,data
Mongolia,data
Montenegro,data
Montserrat,data
Morocco,data
Mozambique,data
Myanmar,data
Namibia,data
Nauru,data
Nepal,data
Netherlands (the),data
Netherlands Antilles,data
Neutral Zone,data
New Caledonia,data
New Hebrides,data
New Zealand,data
Nicaragua,data
Niger (the),data
Nigeria,data
Niue,data
Norfolk Island,data
Northern Mariana Islands (the),data
Norway,data
Oman,data
Pacific Islands (Trust Territory),data
Pakistan,data
Palau,data
"Palestine, State of",data
Panama,data
Panama Canal Zone,data
Papua New Guinea,data
Paraguay,data
Peru,data
Philippines (the),data
Pitcairn,data
Poland,data
Portugal,data
Puerto Rico,data
Qatar,data
Réunion,data
Romania,data
Russian Federation (the),data
Rwanda,data
Saint Barthélemy,data
"Saint Helena, Ascension and Tristan da Cunha",data
Saint Kitts and Nevis,data
Saint Lucia,data
Saint Martin (French part),data
Saint Pierre and Miquelon,data
Saint Vincent and the Grenadines,data
Samoa,data
San Marino,data
Sao Tome and Principe,data
Saudi Arabia,data
Senegal,data
Serbia,data
Serbia and Montenegro,data
Seychelles,data
Sierra Leone,data
Sikkim,data
Singapore,data
Sint Maarten (Dutch part),data
Slovakia,data
Slovenia,data
Solomon Islands,data
Somalia,data
South Africa,data
South Georgia and the South Sandwich Islands,data
South Sudan,data
Southern Rodesia,data
Spain,data
Sri Lanka,data
Sudan (the),data
Surinam,data
Svalbard and Jan Mayen,data
Swaziland,data
Sweden,data
Switzerland,data
Syrian Arab Republic,data
Taiwan (Province of China),data
Tajikistan,data
"Tanzania, United Republic of",data
Thailand,data
Timor-Leste,data
Togo,data
Tokelau,data
Tonga,data
Trinidad and Tobago,data
Tunisia,data
Turkey,data
Turkmenistan,data
Turks and Caicos Islands (the),data
Tuvalu,data
Uganda,data
Ukraine,data
United Arab Emirates (the),data
United Kingdom of Great Britain and Northern Ireland (the),data
United States Minor Outlying Islands (the),data
Unites States Miscellaneous Pacific Islands,data
United States of America (the),data
Upper Volta,data
Uruguay,data
USSR,data
Uzbekistan,data
Vanuatu,data
Venezuela (Bolivarian Republic of),data
Viet Nam,data
"Viet-Nam, Democratic Republic of",data
Virgin Islands (British),data
Virgin Islands (U.S.),data
Wake Island,data
Wallis and Futuna,data
Western Sahara,data
Yemen,data
"Yemen, Democratic",data
Yugoslavia,data
Zaire,data
Zambia,data
Zimbabwe,data